Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,Best Users
Barknuckles,C,4.01,-0.01,21.4%,"173,609",1.0%,"Nautilus, Tahm Kench, Illaoi, Wukong, Ornn"
Captain's Brew,C,4.53,-0.01,16.0%,"347,600",2.1%,"Twisted Fate, Miss Fortune, Fizz, Gangplank, Graves "
Giant's Belt,C,4.87,-0.01,10.1%,"1,169,273",7.0%,"Swain, Wukong, Taric, Loris, Braum"
First Mate's Flintlock,C,4.20,-0.01,19.4%,"182,329",1.1%,"Miss Fortune, Fizz, Lucian & Senna, Twisted Fate, Graves "
Tactician's Cape,C,4.30,-0.01,14.3%,"182,024",1.1%,"Seraphine, Orianna , Vi, Swain, Kog'Maw"
Needlessly Large Rod,C,4.88,-0.01,9.9%,"1,015,406",6.1%,"Fiddlesticks, Seraphine, Sett, Swain, Ahri"
Recurve Bow,C,4.86,-0.01,10.1%,"894,135",5.4%,"Kindred, Seraphine, Lucian & Senna, Azir, Draven"
Dead Man's Dagger,C,4.24,-0.01,19.1%,"162,788",1.0%,"Miss Fortune, Fizz, Graves , Twisted Fate, Ryze "
Negatron Cloak,C,4.85,-0.01,10.1%,"843,421",5.1%,"Swain, Taric, Loris, Wukong, Braum"
Radiant Guinsoo's Rageblade,C,4.49,-0.01,11.0%,"59,726",0.4%,"Yunara, Kai'Sa , Kindred, Jinx, Ziggs "
B.F. Sword,C,4.88,-0.01,9.7%,"880,297",5.3%,"Kindred, Shyvana, Lucian & Senna, Ambessa, Vi"
Sparring Gloves,C,4.86,-0.01,9.7%,"779,045",4.7%,"Sett, Seraphine, Fizz, Ambessa, Fiddlesticks"
Tactician's Shield,C,4.25,-0.01,15.1%,"119,428",0.7%,"Vi, Milio, Neeko, Orianna , Swain"
Cutthroat's Cutlass,C,4.24,-0.00,18.1%,"75,295",0.5%,"Miss Fortune, Fizz, Gangplank, Twisted Fate, Ryze "
Blackmarket Explosives,C,4.35,-0.00,16.8%,"81,957",0.5%,"Fizz, Miss Fortune, Twisted Fate, Ryze , Tahm Kench"
Lucky Doubloon,C,4.79,-0.00,13.6%,"236,577",1.4%,"Miss Fortune, Twisted Fate, Gangplank, Fizz, Graves "
Crown of Demacia,C,4.31,-0.00,10.5%,"73,746",0.4%,"Kai'Sa , Jinx, Vayne, Yunara, Aphelios"
Frying Pan,D,5.25,+0.00,7.1%,"44,768",0.3%,"Swain, Vi, Ornn, Shen, Seraphine"
Piltover Emblem,D,4.63,+0.00,10.5%,"217,661",1.3%,"Braum, Sejuani, Swain, Taric, Ornn"
Radiant Bramble Vest,D,4.51,+0.01,11.0%,"20,900",0.2%,"Braum, Skarner , Garen, Swain, Rift Herald "
Radiant Edge of Night,D,4.52,+0.02,11.1%,"11,911",0.1%,"Brock, Ambessa, Warwick, Bel'Veth, Viego"
Radiant Evenshroud,D,4.53,+0.03,12.2%,"11,090",0.1%,"Wukong, Swain, Skarner , Rift Herald , Garen"
Spatula,D,4.73,+0.03,11.0%,"89,592",0.5%,"Swain, Ornn, Vi, Shyvana, Seraphine"
Luden's Tempest,D,4.55,+0.05,10.8%,"78,080",0.6%,"Lissandra, Seraphine, Lux, Sett, Fiddlesticks"
Radiant Ionic Spark,D,4.55,+0.05,12.6%,"11,425",0.1%,"Swain, Kennen , Neeko, Skarner , Braum"
Radiant Crownguard,D,4.56,+0.06,14.0%,"4,335",0.0%,"Swain, Skarner , Neeko, Fiddlesticks, Nidalee "
Mogul's Mail,D,4.57,+0.07,11.0%,"138,583",1.0%,"Wukong, Rift Herald , Sion, Garen, Braum"
The Darkin Staff,D,4.57,+0.07,10.2%,"74,732",0.6%,"Seraphine, Lux, Lissandra, Fiddlesticks, Ornn"
Cappa Juice,D,4.58,+0.08,11.2%,"24,148",0.2%,"Kai'Sa , Yunara, Seraphine, Kalista , Bel'Veth"
Radiant Bloodthirster,D,4.58,+0.08,10.3%,"35,180",0.3%,"Brock, Ambessa, Warwick, Aatrox , Zaahen"
Radiant Quicksilver,D,4.59,+0.09,9.4%,"15,837",0.1%,"Bel'Veth, Brock, Ambessa, Warwick, Tryndamere "
Radiant Warmog's Armor,D,4.59,+0.09,10.1%,"50,304",0.4%,"Garen, Rift Herald , Braum, Wukong, Skarner "
Bilgewater Emblem,D,4.88,+0.10,14.2%,"340,906",2.0%,"Lucian & Senna, Shyvana, Swain, Ornn, Kindred"
Radiant Steadfast Heart,D,4.61,+0.11,11.1%,"16,612",0.1%,"Skarner , Swain, Garen, Braum, Wukong"
Radiant Gargoyle Stoneplate,D,4.64,+0.14,10.9%,"29,472",0.2%,"Skarner , Neeko, Wukong, Swain, Braum"
Radiant Hand of Justice,D,4.64,+0.14,10.2%,"31,704",0.2%,"Brock, Ambessa, Sett, Nidalee , Fizz"
Radiant Protector's Vow,D,4.67,+0.17,12.4%,"9,552",0.1%,"Swain, Skarner , Braum, Neeko, Garen"
Radiant Dragon's Claw,D,4.75,+0.25,10.1%,"31,531",0.2%,"Braum, Garen, Rift Herald , Swain, Skarner "
Ixtal Emblem,D,5.39,+0.25,8.8%,"183,233",1.1%,"Vi, Swain, Taric, Bard , Loris"
Radiant Adaptive Helm,D,4.77,+0.27,11.5%,"14,158",0.1%,"Mel , Seraphine, Lissandra, Aurelion Sol, Veigar"
